,index,date,season,team1,team2,score1,score2,team1_elo,team2_elo
58,32192,1990-11-09,1991,LAL,SAC,100.0,86.0,1480.849346001598,1440.3023142150987
59,32193,1990-11-09,1991,MIN,CHH,106.0,77.0,1468.6283259769561,1485.9571419550668
60,32194,1990-11-09,1991,POR,DET,113.0,101.0,1599.1751039338499,2327.515736063153
61,32195,1990-11-09,1991,WSB,MIL,100.0,108.0,1457.7834884914446,1562.9572139961083
62,32196,1990-11-10,1991,PHO,DEN,173.0,143.0,1521.6471556460979,1422.8034173814972
63,32197,1990-11-10,1991,SAC,NYK,88.0,93.0,1424.332320089686,1509.901863965293
64,32198,1990-11-10,1991,SAS,HOU,111.0,110.0,1522.4652753098974,1486.9781893333986
65,32199,1990-11-10,1991,SEA,GSW,100.0,117.0,1537.221713990655,1543.2984876528403
66,32200,1990-11-10,1991,LAC,ATL,94.0,112.0,1491.202959095938,1549.4939102078072
67,32201,1990-11-10,1991,MIA,IND,120.0,105.0,1492.435364308934,1513.2984611965371
68,32202,1990-11-10,1991,CLE,PHI,104.0,88.0,1519.6190552148614,1475.1828717611852
69,32203,1990-11-10,1991,CHI,CHH,105.0,86.0,670.6299765204767,1457.8473110900159
70,32204,1990-11-10,1991,NJN,BOS,91.0,105.0,1458.1996837620748,1523.8389429436656
71,32205,1990-11-11,1991,HOU,UTA,110.0,90.0,1502.0173372877086,1501.987259069362
72,32206,1990-11-11,1991,LAL,NYK,103.0,109.0,1461.9866147601856,1528.8838515153227
73,32207,1990-11-11,1991,POR,LAC,138.0,107.0,1607.63365631705,1484.4258107489027
74,32208,1990-11-11,1991,MIN,ORL,108.0,81.0,1478.0168315434382,1416.9181815042507
75,32209,1990-11-12,1991,NJN,WSB,92.0,97.0,1439.011282720968,1475.7812522364784
76,32210,1990-11-13,1991,SEA,NYK,110.0,116.0,1517.8982017941503,1548.251795817291
77,32211,1990-11-13,1991,ATL,CLE,104.0,121.0,1529.4299858604445,1540.0894193593508
78,32212,1990-11-13,1991,CHH,WSB,120.0,105.0,1471.2538831233967,1463.7908064205312
79,32213,1990-11-13,1991,DET,MIA,118.0,93.0,2336.818780210293,1491.970037537749
80,32214,1990-11-13,1991,GSW,SAS,128.0,124.0,1555.2040457277353,1510.515312418691
81,32215,1990-11-13,1991,HOU,MIN,90.0,88.0,1513.495310698924,1466.3735709243967
82,32216,1990-11-13,1991,IND,PHI,100.0,108.0,1492.3067058980555,1495.3382879657315
83,32217,1990-11-13,1991,LAL,PHO,111.0,112.0,1445.6268846699763,1537.6981814388796
84,32218,1990-11-13,1991,MIL,BOS,119.0,91.0,1573.9695602510208,1512.6803682804884
85,32219,1990-11-13,1991,ORL,DAL,109.0,103.0,1435.4030616413336,1530.8759024805777
86,32220,1990-11-13,1991,POR,DEN,155.0,129.0,1612.3711052128608,1416.313762076721
87,32221,1990-11-13,1991,UTA,CHI,82.0,84.0,1469.5363177769625,690.2583629984651
88,32222,1990-11-14,1991,LAC,PHO,108.0,102.0,1499.2462766666138,1524.778798488492
89,32223,1990-11-14,1991,MIA,DAL,105.0,93.0,1507.7978405511758,1518.3737112997765
90,32224,1990-11-14,1991,NJN,MIL,112.0,95.0,1456.3152998395503,1558.222086702976
91,32225,1990-11-14,1991,PHI,ATL,112.0,104.0,1510.8629223916212,1516.995308888864
92,32226,1990-11-14,1991,BOS,CHH,135.0,126.0,1524.9614207379516,1461.1531548607675
93,32227,1990-11-14,1991,CLE,IND,113.0,95.0,1552.4405071095043,1482.8129419874585
94,32228,1990-11-15,1991,GSW,CHI,103.0,93.0,1555.813939064683,688.6681226210923
