prediction,fatigue,adjustment
0.025,FALSE,0.08509384277356892
0.025,TRUE,0.05513824395308653
0.07500000000000001,FALSE,0.05758811093372013
0.07500000000000001,TRUE,0.02046338109944473
0.12500000000000003,FALSE,0.03500330200647895
0.12500000000000003,TRUE,-0.009094906928480978
0.17500000000000002,FALSE,0.01716563128374815
0.17500000000000002,TRUE,-0.03372189085196435
0.225,FALSE,0.0039013140574304765
0.225,TRUE,-0.05360284139227916
0.27499999999999997,FALSE,-0.002595921392330282
0.27499999999999997,TRUE,-0.06707680844140496
0.325,FALSE,-0.0019416807721804631
0.325,TRUE,-0.07383525324643182
0.375,FALSE,0.0029762502295974536
0.375,TRUE,-0.07609206356129941
0.425,FALSE,0.009270085924720985
0.425,TRUE,-0.07606112713994737
0.475,FALSE,0.014052040624907648
0.475,TRUE,-0.07595633173631532
0.525,FALSE,0.019739561577199704
0.525,TRUE,-0.07341772866168585
0.5750000000000001,FALSE,0.028363302431207753
0.5750000000000001,TRUE,-0.06678842203198355
0.6250000000000001,FALSE,0.03645528710250179
0.6250000000000001,TRUE,-0.059336878808111344
0.675,FALSE,0.04054753950665183
0.675,TRUE,-0.05433156595097194
0.7250000000000001,FALSE,0.037172083559227916
0.7250000000000001,TRUE,-0.0550409504214681
0.775,FALSE,0.02679094457360328
0.775,TRUE,-0.06106229432400464
0.8250000000000001,FALSE,0.011997620920135019
0.8250000000000001,TRUE,-0.07007187650637194
0.8750000000000001,FALSE,-0.007478653900131069
0.8750000000000001,TRUE,-0.08245668904455125
0.925,FALSE,-0.03190864638614901
0.925,TRUE,-0.0986037240145237
0.975,FALSE,-0.06156312303687304
0.975,TRUE,-0.11889997349227067
